,comment
0,"Produto 100%, vale a pena custo beneficio."
1,"Pensei que fosse maior,fiquei meio decepcionado."
2,"Comprei um iphone 12 dessa loja ref store depois de 6 meses o iphone foi bloqueado como fruto de roubo, depois o mercado livre ainda fala que sua compra é segura, aonde?. Produto fruto de roubo."
3,"Produto com imei bloqueado por roubo! novamente estou tendo muitos problemas com um cel ""roubado"" que eu adquiri honestamente."
4,"O produto veio bloqueado, pedindo senha, nao consigo utiliza-lo, caso contrario quero devolver."
5,Excelente produto.
6,"Muito bom , ma é um pouco grand."
7,"Produto excelente super recomendo, original lacrado com garantia e nota fiscal."
8,Maravilhoso top de mais amei amei.
9,"Produto apple, qualidade sofisticação!."
10,"Esperiencia muito top, o aparelho e fantastisco."
11,Iphone de excelente qualidade.
12,"Excelente! sem palavras para essa máquina! surpreendida positivamente! ja fiz uso de outros iphones, mas esse deixa todos no chinelo, principalmente com a qualidade das imagens/câmera e tamanho da tela!."
13,Mercadoria de boa qualidade e confiavel.
14,Eu só achei meio ruim porque não venho com a caixinha com a foto dele veio numa caixinha branca totalmente branca e como eu tinha perguntado falou que vinha na caixinha original então quando perguntarem explica que é uma caixinha totalmente branca mas de resto é tudo original pesquisei e tá tudo certo graças a deus fiz um bom investimento recomendo.
15,Esse produto e fraude comprei um e vem com a tela falsa nao comprem nada desse povo eles nao vende porodutos originais.
16,Lindo fabuloso maravilhoso cheiroso gostoso adorei principalmente o sabor de menta que tem nele inconfundível.
17,Muito bom estou super satisfeita.
18,"Apaesar do meu iphone vim sem a caixa original,esta funcionando perfeitamente,estou amando o aparelho. O acesso e bem rapido em todos os sentidos."
19,"O iphone é de vitrine, não vem com a caixa e acessórios originais. Mas não é ruim, funciona certinho!."
20,"É bom. Recomendo. Um pouco diferente do sansung, que já estava acostumada. Mas é só questão de adaptação. Por ser produto de demonstração em loja, veio com a bateria com pouca durabilidade, precisando trocar."
21,Ótimo produto recomendo a todos produto realmente original.
22,Descarrega muito rápido. A entrada do carregador já está com mal contato.
23,"Ótimo produto, lacrado tudo certinho. Saude de bateria 100. Tudo ok."
24,Produto do jeito que eu esperava.
25,Ótima qualidade adorei bateria ótima telefone maravilhoso recomendo.
26,Ótimo muito muito bom minha filha amou.
27,"Ótimo!!! veio tudo certinho, muito bom, minha irmã amou o aparelho."
28,Muito bom. Mas eu prefiria se tivesse mandado o preto como pedir!.
29,Ótimo produto original na caixa lacrado.
30,Otimo adorei excelente produto.
31,Foi uma exelente escolhar minha na compra do iphone adorei.
32,Muito bom ! mas nao mudou mto do meu 8 plus.
33,Esperava q ela fosse responder mas n me respondeu. Apergunta q eu fiz a ele.
