,comment
0,"Eu achei que ele viria com caixa oficial da intel, mas em compensação veio um coolerbox da cooler master que a trava é de parafuso e o dissipador é maior, ao invés daqueles de plástico e dissipador minúsculo que costumava vir com os processadores, e pra mim tá ok, e pra compensar o processador sem a caixa, eles empacotaram bem. Mas muito, muito bem pra não danifica-lo, e sobre o processador, eu já esperava seu tipo de performance, fora o fato que ele esquenta bem menos que o meu antecessor i5 2400, e pra jogos ele é muito bom, ele tem muito gás, não liguem para os entusiastas xiitas ou 'ou gamers de benchmark'' esse cpu é um monstrinho."
1,"Um ótimo processador, recomendo a todos que comprem. Muito veloz. Compensa muito tem um processador desse. Comprem é muito bom."
2,"O processador core i7 3770 ainda é um processador que a intel fez e rasgou a receita. Com um boa placa de vídeo, ele dá surra em muitos atuais. Show de bola!."
3,"Produto excelente, recondicionado porém otimo. Pelo preço. Tinha um i5 2320 3ghz. E agora com i7 3770 meu warzone2 pulou de 60fps para 100fps. Ótimo de mais."
4,"Produto funcionando normalmente, mas o anúncio é enganoso, diz que vem com a caixa original do processador, veio em uma caixa de fonte de pc, sem cooler box nem nada, deveria corrigir a descrição do anúncio, ou no mínimo mandar o processador juntamente com um coolerbox genérico."
5,"Estou usando a mais de 1 mes este processador e nao tive problemas, bom processador."
6,"Processador ainda serve para muita coisa, muito bom!."
7,"Antes estabcom um i5 3470, agora com este processador meu pc ganhou mais fps em games."
8,"Muito bom, recomendo, agora estou jogando os jogos em um gráfico muito alto, combinou com a minha gtx 1650."
9,Produto funcionando bem.
10,"Melhorou meu i3, esse ficou bem mais rápido."
11,Esse lente disimpenho.
12,Substituí meu antigo i5 3330 por esse i7 e o gargalo nos jogos diminuíram consideravelmente e a temperatura com um air cooler pichau sage v2 não passa dos 50°c.
13,Top mudou meu pc seloko.
14,Muito bom.
15,Ótimo produto ficou bem rápido meu pc.
16,Bom.
17,Bom produto.
18,"Excelente, qualidade e deixou o pc muito mais produtivo. Recomendo."
19,Muito bom.
20,Funcionando perfeitamente.
21,"Muito bom, até os dias de hoje ainda não deixa a desejar."
22,"Produto original, de excelente qualidade. Ótimo desempenho. Recomendo!."
23,Que processador bom! excelente! senti diferença assim que liguei o pc! muito recomendo.
24,Tudo certo.
25,P.
26,Excelente. Funciona perfeitamente e foi um ótimo upgrade de um i3.
27,"Ok! recomendo, volto em 15 dias caso tudo ocorra normal."
28,"Muito bom, supriu minha nescessidade!."
29,Muito bom pra tudo tarefas e games.
30,Melhor coisa que poderia ter feito foi ter comprado esse processador ??.
31,"Intel core i7-3770, produto de qualidade."
32,"Top, excelente equipamento, super satisfeito."
33,Muito bom e de excelente qualidade.
34,Funcionando sem problemas. Deu um aumento de performance bem grande no pc (saí de um i5 3ª geração pra esse i7). Muito bom!!.
35,Excelente produto muito top.
36,Ótimo pode comprar no meu deu certinho.
37,"Melhorou o desempenho, recomendoa todos."
38,Excelente produto! ainda é um monstrinho.
39,Ótimo superou minhas expectativas.
40,"Muito bom. Processador antigo mas que ainda compensa comprar, bate com muitos processadores mais novos."
41,"Muito bom, foi melhor do que eu pensava, mas acho que é normal já que meu último pc tinha um processador pentium dual core 775. Mas valeu a pena."
42,"Um aviao mesmo com a idade de idoso, troquei meu i5 2400 e a diferença e enorme."
43,Um excelente produto muito bom eu recomendo.
44,"O processador é show de bola, responde bem e não esquenta tanto como o core2 quad."
45,Funciona perfeitamente. Melhorou consideravelmente a velocidade de processamento.
46,"Veio tudo dentro dos conformes, sem reclamações."
47,Otima compra produto nota 10 cumpre oque promete.
48,Muito bom. Atendeu minhas expectativas.
49,Perfeito exatamente o q eu queria.
50,"Excelente produto, no entanto, para tirar o máximo de performance dele é necessaria uma boa solução termica, então terá que investir em um bom cooler."
51,"Muito bom, funcionou perfeitamente. Recomendo!."
52,"Muito bom, mudou o desempenho drasticamente da máquina que usava um pentium dual core."
53,Muito bom.
54,"O processador, e bom, porém a parte gráfica dele deixa muito a desejar por ser um pouco antigo, pra quem tem uma placa de vídeo + ou - eu recomendo, mas pra quem não tem uma placa de vídeo não recomendo efetuar a compra do mesmo."
55,Totalmente errado. Nao bate nada com a discrição. So tive a oportunidade de testar ele agora. E nao gostei. Eu odiei pessimo nao quero isso prefiro perder e comprar outro.
56,Top muito bom.
57,"Está funcionando ""a todo vapor"". Excelente."
