,comment
0,Pensei que o som era mas alto e não e não e tambem não tem o led na frente.
1,Produto top.
2,"Muito provavelmente não tem os 100w do anúncio. Mas deve se aproximar dos 50 a 60w. Muito útil, da para utilizar como sound bar para tv, som externo e para casa tbm. Apresenta qualidade nos materiais."
3,Ótimo produto original com nota fiscal jbl já diz tudo.
4,"O produto possui excelente qualidade, porém não veio carregador e tive que comprar um a parte. Satisfeita com a compra, mas pelo valor pago, no mínimo deveria vim um carregador."
5,"Tive um pouco de dificuldade de ligar. Mais foi ter mais curiosidade, consegui. Acho que o manual poderia ser mais fácil. Mais quando liga e solta o som é sensacional!! bonita, leve e prática. Muito satisfeita com a compra."
6,"Mais que satisfeito, conectei ela com uma flip 4 o som ficou muito equilibrado os graves ficou show, nesse valor na minha opinião não existe caixa melhor. Super recomendo."
7,Ótimo produto. Da melhor qualidade. Original.
8,"Maravilhosa a cx de som jbl,,,. Pequena mas, potente!. Está suprindo justamente a minha necessidade, um som de mesa!!!. Estou adorando!!!."
9,Bom tem excelente som bem definido graves e agudos ótimo produto de qualidade recomendo.
10,Muito bom! chhegou no tempo previsto.
11,"Produto original, pode confiar."
12,"Muito bom o produto,meu esposo gostou muito agora pode ouvir as músicas que gosta na altura que quiser ,o som e demais ,eu recomendo."
13,Produto muito top super original vale a pena comprar.
14,Cê tá doído. Caixa show de mais. Confesso que estou amando. Recomendo de mais para quem quer comprar.
15,Muito bom. Qualidade do som é ótima e é muito alto.
16,"Som muito bomm, recomendo a todos, tudo certinho."
17,Muito bom o som e acabamento e ainda tem a opção de carregar o celular direto por ela.
18,"Simplesmente sensacional!! vale cada centavo. Som nítido, demora descarregar e sem falar que é muito linda."
19,"Ótima qualidade , som limpo n bate nada."
20,"Caixinha perfeita que dura horrores a bateria, achei hit."
21,Um som ótimo e muito potente. Grande opção de compra.
22,"Perfeição!!! muito potente, som limpo demais."
23,Ótimo custo x benefício. Recomendo.
24,Excellent experience! nicely design and good quality of the bass.
25,Muito bom mesmo. Original. Compra rápida.
26,"Atendeu minhas expectativas,eu recomendo. Fiquei muito satisfeitos."
27,"Produto top, original ! show."
28,"Fantástica! ótimo som, boa potência, longa duração da bateria."
29,Caixa de excelente qualidade superou minhas expectativas.
30,Muito bom recomendo seguro e rápido.
31,Sem palavras! o produto é muito top.
32,Ótimo produto. Recomendo e compraria novamente.
33,"Excelente caixa de som, dei de presente para minha sobrinha!."
34,"Excelente produto,gostei muito, recomendo."
35,Precisso dizer nada ne jbl e qualidade.
36,Excelente produto vale arena comprar recomendo.
37,"Muito bom esse produto, maravilhoso!!!!."
38,"Produto não condiz ao preço (jbl go/xtreme muito mais custo beneficio), não devolvo pq ja basta a decepção ainda ter trabalho de ir devolver!."
39,"Simplesmente o máximo. Som fantástico, à prova de choques e agua, ligar no spotify e viajar!."
40,O som é muito bom pelo preço. A bateria e a qualidade do bluetooth deixam um pouco a desejar.
41,"Amei,o som é bem potente ele é lindo, pequeno cabe em qualquer lugar e dá pra levar ele pra onde eu quiser,e as luzes são lindas, nota 1000👏🏼."
42,"Pelo valor, até que tá bom , mas não é nada excepcional."
43,"Foi uma das melhores compras que fiz até hoje, pelo tamanho não esperava um som tão bom."
44,"A iluminação desse modelo é muito esquisita pega a frente da caixinha toda, prefira a d3141, é até mais acabada."
45,A caixinha é boa além de ser pequena o som é bastante alto só não gostei porque disse que a duração é entre 4 horas de relógio e menos disso a caixa descarrega.
46,"Produto excelente, com certeza indico, som muito bom, ao perde em nada pra jbl."
47,Horrível paraguai.
48,Ótimo custo benefício som potente.
49,"Já é a segunda que eu compro , produto muito top."
50,"Boa, som alto grave bom eu gostei."
51,Ele tem um grave bom e é muito alto estou muito feliz pela minha compra.
52,"Excelentes. Polk tem uma sonoridade que me agrada muito. Aberta , detalhada."
53,Até o presente momento estou satisfeito. Som com qualidade e funcional!!!.
54,"Cumpre o que promete, nem a mais, nem a menos. Ótimo material, som limpo. Pra mim que comprei pra usar em casa o volume é perfeito. Com certeza compraria de novo."
55,"Me surpreendeu, não modifica o som quando aumenta mais. Som alto e ambiente. Gostei bastante, a bateria no volume maximo não dura muito mas no médio demora mais de 3 horas. Só isso que achei um pouco ruim, mas de resto amei. A luzes quando acendem conforme a musica adoro kkkkk' tamanho ideal não é pequena e nem grande."
56,Pelo preço é muito bom.
57,"Muito bom !! as luzes são bem precisas , e o som e de qualidade na altura necessária para um ambiente."
58,"Produto dentro da expectativa, com volume mais alto começa a distorcer levemente, mas pelo preço que paguei e pelo objetivo, atende perfeitamente."
59,Recomendo essa caixa. Muito top.
60,"E excelente produto qualidade acabamento, srm contar o som sem distorção e muito potente, realmente é o que promete o produto. Recomendo!."
61,Só podia ser mais alto. Mas é muito bao.
62,Amei.
63,"A bateria não dura nada. Para usar como abajur não serve porque quando está descarregando fica dando um aviso muito alto, acorda todo mundo."
64,Luzes não apagam.
65,
66,Atendeu bem a expectativa. Comprei para o pc do meu esposo e ele adorou.
67,"Superou expectativas, produto muito bom."
68,"Produto excelente, atendeu bem as expectativas."
69,Bom.
70,Lindas e operantes. Custo benefício cabe no bolso.
71,"Amei, excelente."
72,"Ótimo produto, havia comprado 2 e voltei a efetuar nova compra."
73,Não funciona.
74,Som legal e fácil de instalar. Recomendo.
75,"Bom , som volume medio , supre as necessidades."
76,Muito bom o produto.
77,Adorei.
78,Muito bom gostei muito top excelente.
79,Não era bom. Mas é excelente.
80,"Gostei das caixinhas de som rgb, alimentação usb e controle de som!."
81,Atendeu a minha expectativa.
82,"Amei o produto, as caixinhas de som superou minhas expectativas."
83,Muito bom o som.
84,"Além de lindas , um som limpo , potente, excelente !!!! amei !!."
85,Excepcional custo x benefício: qualidade superior não esperada para um produto de baixo preço. Recomendo.
86,Otimo custo benef.
87,"Ótima, era tudo que precisava, bonita e funcional , recomendo."
88,"Botão de volume veio bem arranhado, como se tivessem passado numa parede, mas o som é legal, tem até um grave bom."
89,Produto muito bom ! qualidade do som é exelente funcionou bem no meu computador!.
90,Ótimo.
91,"Funciona bem, é considerada uma das melhores placas do mercado, meu parceiro na espanha que me indicou, vem o ableton 10 que é uma ótima plataforma."
92,O produto e de ótima qualidade gostei muito adorei.
93,"Fiquei impressionado. Depois de pesquisar um bocado, vi reações mistas ao t13. Comprei o produto tendo todas em mente e as minhas expectativas foram superadas. Ainda não testei completamente a questão da carga, mas depois de cerca de duas horas de uso, a bateria ainda se encontra em 80%. Nenhuma falha de conexão: nem caminhando na rua com o celular no bolso, nem caminhando pela casa com o celular ou computador no quarto fechado. A qualidade é excepcional pelo preço. Achei o balanceamento entre agudos, médios e graves muito bom (com um pouco mais ênfase nos dois últimos). O design dos fones é ótimo - pra adaptação ao meu ouvido precisei trocar para as borrachinhas menores, mas elas se adaptaram perfeitamente. A case também tem um design bem bonito, toda em plástico, mas nitidamente resistente. O microfone não é uma característica muito boa: ele não capta tão bem os sons quando mais baixos. Portanto, pra quem não costuma falar alto em ligações, isso pode ser um probleminha. De qualquer forma, como meu objetivo principal com ele é ouvir música no celular e assistir a séries no pc, estou muito satisfeito."
