,comment
0,"Depois de uma semana o produto apresentou problemas e não tem troca, complicado."
1,"Péssimo!! o meu headset veio com defeito, entrei em contato com eles para fazer a devolução, mandei fotos e devolvi logo após tudo certinho. Até hoje não devolveram meu dinheiro só enrolando, continuo pagando o produto já tem 3 meses e sem tê-lo em mãos. Muito decepcionada, horrível!!."
2,"Produto de ótima qualidade. 7. 1 funciona normalmente. Os detalhes no couro sintético deixam ele bem bonito. O som, com o 7. 1 inativo, é igual a de qualquer fone barato. Não entendi bem o motivo de ter essa opção de ouvir em menor qualidade. Seria só pra poder conectar ao smatrphone? enfim, é só um detalhe bobo, não interfere em nada. O material do cabo é muito bom. O fone é relativamente pequeno, mas cobre a orelha completamente, e confortável demais, bem leve."
3,"Perfeito. Fone leve e bem confortável. Qualidade do som ótima e o microfone é muito bom, ele consegue reduzir muito o som ambiente."
4,"Top mano, um dos melhores do mercado, se vc tiver xbox one baixando do doble atmos fica absurdo a qualidade ainda mais, para filmes fica som de cinema, jogando warzone vc tem toda dimensão dos passos, explosões, inimigos, hedset foda."
5,"Top de mais o fone muito bom, compensa compra."
6,Simplesmente fantástico headset top.
7,"Nota 10, produto muito confortável, qualidade hyper x."
8,Excepcional valor que compensa.
9,"Sensacional, o modo 7. 1 dele é incrivel."
10,Qualidade sensacional. Cumpre o que promete vai além.
11,Produto excelente!! sim ótimo e com uma qualidade muito boa.
12,"Otimo headset, som limpo e claro."
13,"Fone muito bom e confortável, quem está com duvida sobre comprar ele para o ps4, ele funciona sim, é só baixar o sofware da hyper x que ele vai atualizar os drivers e o 7. 1 funciona lá perfeitamente, todos os cabos são removíveis inclusive o microfone e são grandes os cabos para quem tem problema com distancia, como eu falei supeeeeeeer confortável, aconselho para quem está na duvida de comprar, vale a pena."
14,Som bom e almofada confortável.
15,"Que áudio gostoso desse fone: equilibrado, sem distorções, tanto para jogos quanto para música e filmes/séries. Configurando direitinho no pc, e celular com equalizador, fica perfeito. E além de tudo, não aperta a cabeça, uso durante horas, mesmo com óculos, e não incomoda."
16,"Achei a qualidade de som bem ruim, muito metalico, agudo estridente e grave chato. Microfone é satisfatório."
17,"Qualidade excelente dentro do preço cobrado! isolamento acústico muito bom, sensibilidade extrema do fone! capta até mais do. Que devia! no geral muito equilibrado, e com bons graves!."
18,Experiência incrível de áudio. Vale seus 300 reais.
19,"O fone valeu muito apena por 300 reais, um excelente custo benefício. Não imagino um fone parecido para ele nessa faixa de preço. (300 a 350 reais)."
20,Ótimo produto. Comprei para uso em home office e a qualidade do fone e microfone atendem muito bem a necessidade.
21,"Um headset maravilhoso, apenas."
22,O cabo é muito longo.
23,Ótimo produto.
24,Comprei apenas para jogar valorant e achei mt top.
25,"Headset muito bom para jogar fps, sem dúvidas o melhor que já tive para o segmento, não é a toa que muitos pro players de fps usam ele."
26,"Melhorei até no jogo após a compra do headset! além de ser excelente, o material é muito resistente, da impressão que terei ele por longos anos."
27,Produto de excelente qualidade!.
28,"Muito top, volume dele é bem alto."
29,"Ótima qualidade de áudio e microfone. Leve, confortável, excelente para homeoffice."
30,Bom porque encobre toda orelha na qualidade de som é um pouco melhor mais nada de tão especial!.
31,"O headset é top, vale o preço pela qualidade."
32,"Os cabos vieram errados. Veio cabo da hypperex totalmente inferior. O manual e a caixa demonstra o tipo de cabo que viria 7,1. Não recomendo. Cuidado."
33,"Headset excelente! é confortável, isola o ruído, etc."
34,"Produto muito bom, ótima qualidade e design lindo!. O fone é bem de entrada, o filtro ajuda bastante, mas é necessário falar alto e declarado, ou não capta. A estrutura é bem pequena (compacta) e extremamente confortável, uso por horas e nem percebo."
35,"Muito bom, superou as expectativas."
36,"Qualidade de áudio muito boa, usava o cloud 2 e achei esse fone ótimo também."
37,Ótimo headset! muito confortável e ajustes muito fácil!.
38,"Sensacional, superou todas minhas expectativas. Excelente para jogos, melhorou muito o meu cs!."
39,"O melhor fone que eu já tive, na frente até do sibéria v2."
40,"Otima qualidade, bem claro, o som não vaza em chamada com amigos."
41,"Me surpreendi com o fone, achei o som muito bom. Estou usando mais ele do que meu astro a50, pela facilidade de levar aos lugares que preciso e usar também em outros aparelhos. Essa cor preta fosca, ficou linda demais. Recomendo a compra."
42,"Um roubo, não da o reembolso da sua compra na devolução."
43,"Headset de altíssima qualidade. O efeito 7. 1 é surpreendente, pois consegue acompanhar a dinâmica do jogo. Outro ponto em destaque é a vedação e o conforto para as orelhas. Em relação à qualidade sonora, os sons são reproduzidos de maneira cristalina, e com graves profundos. Não é barato, mas vale a pena o investimento."
44,"Excelente, meu filho ficou muito feliz."
45,"Áudio espetacular nestes fones de ouvido: som grave com muita profundidade, estéreo de alta fidelidade. Livre de interferências."
46,O produto funciona muito bem.
47,"O fone até q é bom, mais acho que não foi feito muito pra jogar."
48,Olha só. Eu uso isso apenas pra conversar e não pra música e nada profissional. Eu queria algo barato mas paguei 90 num da multilaser que além de ser ruim durou super pouco! então valeu apena pagar mais caro numa parada boa.
