,comment
0,"O mouse é muito bom! o click é macio e não barulhento, encaixa muito confortavelmente na mão. Se você usa o mouse o dia inteiro, então essa é uma ótima opção. As cores das luzes são bem bonitas; tem como configura-las no app da marca, o que foi bem fácil de fazer (mas acho que só tem para baixar no pc). O cabo é longo e de boa qualidade. Parece que vai durar por muito tempo. Compraria de novo e recomendo :d."
1,"O mouse é muito confortável, tem boa pegada, dpi excelente, é bonito, os botões respondem bem e não faz tanto barulho. É um problema pequeno, mas o programa disponibilizado pela marca para configurá-lo é bem ruinzinho e complicado de se adaptar, mas no modo padrão ele já funciona bem, outra questão é que eu achei ele comprido demais, o que torna o uso um pouco estranho, mas nada demais."
2,"Eu gostei bastante desse mouse. Eu gosto de mouses pesados e que precisam de pouco movimento para chegar aonde eu quero, a configuração de dpi é bem simples se não quiser as configurações padrões. Além de ser um mouse muito bonito e possuir cabo em malha, pois, os de borracha eu sempre acabo destruindo eles. Os leds dele eu apanhei um pouco para entender e configurar via software mas nada que um pouco de paciência não resolva."
3,Produto de acordo com a descrição e foto. Excelente qualidade.
4,"É um excelente mouse, porém, ele mancha muito fácil e algumas manchas não saem nem esfregando com produto de limpeza. Fora isso, tem o melhor desempenho e custo benefício."
5,"Excelente produto, super eficaz, atendendo a total necessidade ao que se propõe. Super indico."
6,Ótimo produto adorei se adaptou exatamente em minha mão e super confortável.
7,Ótimo mouse! design muito bonito e materiais de boa qualidade.
8,Dei de prese te minha neta amou ele e lindo.
9,"Mouse excelente, atendeu às expectativas. Ergonômico, muito bonito, ótimo custo benefício."
10,"Produto top , sem oque reclamar , boa pegada e muito mais muito lindo o design dele !!."
11,Muito bom!! produto de ótima qualidade e com um preço super acessível.
12,"Produto de extrema qualidade, por um preço justo! gostei muito do produto!."
13,"É muito bom , além e ser lindo!! estou satisfeita com a compra."
14,"Ótimo, várias luzes por dpi, fio comprido, botões ao lado, res dragon como na foto."
15,Cor veio trocada paguei mais caro no branco e veio preto.
16,Meu menino amou. Parece ser de boa qualidade.
17,"Estava procurando uma opção para substituir meu g502 e estou finalizando meu setup branco, já tenho um teclado redragon branco (que veio com o led da tecla m com defeito) então procurei um custo x benefício bom para completar o setup. Acontece que me decepcionei ao abrir o produto, a tintura totalmente porca, mal acabada, sabe quando pinta plástico e fica com ""excesso"" no produto? começou por aí, acabamento horrível, eu quase já devolvi ali, porém resolvi dar uma chance para o desempenho. Pois bem, outra decepção. Achei muito impreciso, mesmo utilizando em 500hz ou 250hz achei a precisão demasiadamente problemática (detalhe, utilizo para mmorpg, e nele já senti uma diferença horrível, estava com um motospeed pra quebrar o galho. Em fps o desempenho então ficou muito abaixo do esperado, pareceu outro jogo. ) enfim, o único ponto a ser elogiado é o conforto, mas que acaba sendo ofuscada pela péssima aquisição que fiz. Redragon sempre ouvi elogios porém os dois produtos que comprei, não tive sorte. Voltarei para logitech assim que possível. Não recomendo."
18,Super top.
19,Ótimo. Já faz um bom tempo q estamos utilizando e até agora tudo certo.
20,"O mouse veio com rachadura no lado direito do click, não vou devolver pq estou precisando pra trabalhar. Mais dessa loja não comprarei mais."
21,"Perfeito para a pegada palm e para mãos maiores que o normal. Ele poderia custar 250r$ facilmente, o custou benefícios é excelente."
22,"Tenho gostado muito desta marca, este é o segundo mouse que adquiro (o primeiro continua funcional depois de anos). O mouse é bonito e ergonômico, possui configuração de cores que não depende da instalação de software. Excelente compra."
23,Durou 9 meses e parou de funcionar.
24,Lindo lindo lindo.
25,Perfeito!.
26,Ecelente !. Minha filha adoro !.
27,Bom.
28,Top.
29,Satisfeito.
30,Produto top peguei na cor branca gostei mt.
31,"Estou apaixonada por esse mouse! eu tenho problemas de sudorese e por ser um pouco curvado dos lados acaba não deslizando tanto. Não é emborrachado e consigo controlar a velocidade do ponteiro do mouse com os botões centrais. Além disso, ele parece ser bem resistente porque o material é bem consistente."
32,Ótimo mouse.
33,Mouse top minha filha amou :).
34,Ótimo produto recomendo.
35,Produto de ótima qualidade. Perfeito!.
36,"Mouse muito bom, excelente produto, recomendo."
37,"Produto ótimo, bom acabamento, cabo bem grosso, excelente mesmo. Tô curtindo muito."
38,"Ele é muito bonito, mas suja com muita facilidade o cabo, já que é um cabo branco."
39,Amei o mause e perfeito.
40,Trabalho com programação e esse mouse é muito bom pois me trouxe velocidade e diminuiu as dores que eu sentia no pulso.
41,"Muito lindo, mais do que eu esperava. Me surpreendeu positivamente. Ainda não liguei no pc. Projeto robot white!."
42,Muito lindo é muito bom.
43,"Bonito e bom custo -beneficio, tenho outro reddragon de 10 mil dpi e é melhor com mesmo preço. Mas pra escritório e dia a dia é bom. Pra jogos não me agradou muito, até pelo peso. Tem boa pegada."
44,"Produto é ótimo como esperado da marca, excelente custo benefício para qualquer função."
45,Exelente. Meu filho joga com ele adorou.
46,"Muito bom ! o controle da velocidade da seta do mouse é muito útil, por mais que eu não use pra jogar eu gostei dessa configuração, o jogo de luz então nem se fala, muito estiloso, daora usar o escuro, destaca bem o mouse !! recomendo galera, e pra quem joga no pc tbm muito bom."
47,Muito confortável a pegada e os botões laterais.
48,Excelente mouse e lindo!!! recomendo.
49,"Ótimo produto, não amarelou dês de a compra, tem um clique macio e encaixa na mão, super confortável e lindo."
50,Mouse espetacularmente colorido!.
51,"Maravilhoso, ótimo custo benefício."
52,"Otimo, rgb incrível e bem confortável."
53,"Muito top, gostei muito da pegada."
54,Muito bom mouse. Meu segundo produto reddragon e posso afirmar que vale a pena. Veio tudo certinho conforme o anunciado.
55,"Produto muito bom, não tem o que por defeito! compraria novamente sem dúvidas."
56,Produto excelente pra jogar é incrível e estou gostando muito.
57,"Ótimo produto, cor lindaaaa funcional."
58,Ótimo mouse meu filho adorou recomendo a todos do ml.
59,"Mouse incrível, com click macio, boa resposta pra jogos e confortável de usar por muito tempo."
60,Muito bom e a qualidade é boa.
61,"Muito top esee mouse, comprei logo 2."
62,Meu sobrinho adorou. Idêntico ao que apresenta nas características.
63,"Superou minhas expectativas! melhor custo x benefício disparado! qualidade muito boa, formato muito bom, resposta, tudo. Excepcional!."
64,"Ótima qualidade, recomendo!."
65,"Tudo justo e perfeito, recomendo a todos do ml."
66,Otimo custo beneficio! recomendo!.
67,Excelente!! muito bonito e a qualidade é ótima.
68,Muito ruim ele fica desligando.
69,"Estava buscando um mouse de ótima qualidade! de fato esse mouse foi a melhor escolha que fiz! ele é excelente, no caso não comprei para jogar, foi para trabalhar e valeu muito a pena!."
70,"Maravilhoso, provável que seja melhor mouse que já tive."
71,Excelente produto. Nota 10. Recomendo.
72,"Adorei o mouse, ele é muito leve, esperava ser mais pesado, mas é um ponto positivo, fácil de configurar pelo software e muito lindo no modo rgb, combinou muito com meu teclado kala lunar white ?."
73,"Muito bom, ótima pegada, led são bonitos, permite uma boa configuração, ele é pesado."
74,"Muito bonito, bem leve top demais vale a pena."
75,"Otimo produto, muito obrigado!."
76,"É uma maravilha, ótimo custo benefício."
77,"Otimo produto, recomendo a todos."
78,Muito bonito e com excelente qualidade.
79,"O mouse é muito bom, bonito e confortável."
80,"Mouse perfeito. Tem o peso certo, não escorrega no mousepad, iluminação bem bonita, botões firmes mas que não são difíceis de clicar e com um cabo longo o suficente pra não incomodar."
81,"Melhor mouse que já tive, esse realmente é gamer e com certeza também é o mouse mais bonito que já tive, tão sensível que até apanhei pra acostumar com ele, porque queria usar com dpi no máximo, mas eu super recomendo, e se precisar com certeza irei comprar novamente."
82,Ótimo produto!atendeu a necessidade!.
83,Excelente! um mouse excepcional.
84,Bonito bom e barato parece ate milagre.
85,Gostei muito confortável e bonito muito bom pra jogos.
86,Excelente produto por um ótimo custo benefício.
87,Muiuto bom o melhor que ja tive valeu a compra com certeza.
88,"Ótimo custo beneficio, mouse de boa qualidade e muito bonito."
89,"Excelente mouse. Gostei da empunhadura, qualidade, leds. Recomendo."
90,"Maravilhoso, ergonômico e lindo."
91,"Muito bom amei , qualidade ótima nota 10."
92,Tudo ok. Recomendo a todos do ml.
93,"Muito bom, supre oq promete, alem de ser lindo!."
94,Atendendo a minha expectativa.
95,Muito bom. Atendeu as minhas expectativas.
96,Muito otima qualidade.
97,"Excelente funcionamento, confortável de usar e fácil usabilidade!."
98,Tudo certo bonito e funcionando perfeitamente. Parabéns pela loja!.
99,Excelente mouse adorei é bem funcional e confortavel.
100,"Muito bom e confortável, adorei."
101,"Excelente produto, para quem está começando a montar um setup vale muito a pena investir nesse mouse, a pegada dele se encaixa certinho e é configurável a o que melhor se adapta. A cor branca é linda."
102,Qualidade sinistra e top nos games se lok.
103,Produto de excelente qualidade.
104,"O mouse e bom, mais veio com marcas de uso, veio com umas manchas nele que nao consegui tirar ate hoje, confeço ue estou descepsionado com isso."
