,comment
0,Produto atende a necessidade.
1,"Tudo certo, funcionou perfeitamente."
2,Excelente produto recomendo a todos.
3,Gostei muito do produto cumpre com os requesitos nota fiscal obrigado.
4,Filé podem comprar muito bom eu recomendo.
5,"Simples, coloquei e funcionou perfeitamente sem problemas."
6,"Muito bom o produto, recomendo a todos."
7,Excelente! funcionou muito bem.
8,"Qualidade top, up and running!."
9,Ótimo produto! funcionaou corretamente com o modelo de placa mãe que comprei!!.
10,Produto de excelente qualidade até o momento tudo ok.
11,Memoria ótima em processamento nota 10.
12,Produto veio com lacre violado.
13,Excelente! já tinha outros módulos dessa marca e comprei novamente. Recomendo!.
14,"Bom demais, excelente! adorei."
15,Tá rodando sem problemas junto com a aoutra de 16gb. Uma dica: compre só se for usar em par. Se não compre duas de 8gb ;-).
16,"Produto muito bom,atendeu ao que eu precisava."
17,Produto 100% de altíssima qualidade.
18,"Ótimo produto, de boa qualidade."
19,"Parece boa. Não tenho a potencia total, porque os outros pentes são de 8 e de outra marca."
20,Funcionou perfeitamente. Produto muito bom. Porém não melhorou o desempenho da minha máquina como eu precisava. (dell com processador intel i7 - memória de 16gb passou para 32gb). Creio que só vai dar um desempenho realmente melhor com um ssd próprio para o sistema operacional.
21,Meu ryzen 5 3600 já tinha 16 gb dessa mesma memória e eu arrisquei dobrar a quantidade. Isso é importante pois amd recente precisa de memórias idênticas - e funcionou perfeitamente. Estou com 32 gb e rodando a 3200 mhz sem nenhum problema. Recomendo.
22,"As memórias são sensacionais, levaram meu sistema ryzen 5 2600 para outro patamar. Super recomendada!."
23,"Ainda não testei kkk, mas já sei que não decepciona."
24,Memória muito boa. Recomendo a todos.
25,Perfeita para o uso em jogos. Consegue manter uma boa rapidez de processamenti.
26,"Excelente memória, alta performance e qualidade de produção."
27,Melhor custo benefício hoje para pcs!!!.
28,Já instalei e funcionou conforme esperado. Recomendo!.
29,"Meu computador tá lindo e muito rápido, ótima memória!."
30,"Recomendo com toda certeza, além da rapidez em enviar o produto fiquei muito surpreendido com a qualidade do mesmo."
31,"Produto normal, nada de tão extravagante, uma memória normal com dissipador simples."
32,Otimo.
33,"Recomendo ótimo produto mas, recomendo comprar no mínimo uma de 8 gb. Já tive várias dessa marca."
34,"Excelente qualidade, recomendo a todos do mercado livre."
35,"Produto de qualidade superior, excelente desempenho."
36,Cumpre a expectativa.
