,comment
0,"Produto bom demais! atende super bem meu uso diário, bateria dura o dia todo e a tela é linda, brilho bom e mesmo durante o dia eu consigo enxergar bem! a câmera é a única coisa que eu n gostei muito, mas de dia e com uma luz bem natural consigo tirar umas fotos top! de resto, celular lindo, um verde bem puxado pro preto. Recomendo demais. Ainda mais p alguém que esteja pensando em desempenho pro dia a dia e custo benefício."
1,
2,"Excelente custo benefício, o desempenho é excelente pelo preço cobrado! recomendo."
3,Gostei do aparelho tem me atendido perfeitamente.
4,O produto atendeu as minhas necessidades.
5,"Celular muitíssimo bom, me atende em todos os quesitos. Quem comprar, não vai se arrepender."
6,"Mano superou minhas expectativas, bateria violenta, câmera de alta definição, armazenando super top, tela espetacular, e o processador snapdragon750 é muito bom o jogos rodam perfeitamente , amei a compra."
7,"Muito bom, ótimo custo benefício."
8,Eu só uso sansung vai do gosto de cada um.
9,Tô amando meu novo galaxy.
10,"Me surpreendeu! jogando a bateria dura umas 6 horas não trava nada muito top, se não mexer muito dura um dia e meio, não vem fone de ouvido."
11,"Estou gostando muito, câmera ótima, não trava e bonito. Bateria está durando+ou- dois dia,usando razoável. Obrigado."
12,"Samsung é excelente, né?! não tenho nada a reclamar do celular, só elogios. Recomendo a todos do ml."
13,Excelente. Muito satisfeito.
14,"Comprei para minha mãe. Para uso básico ele é perfeito, só e um pouco grande rsrs."
15,Sem dúvida custo mais benefício esse foi um dos melhores. Pois para o que eu uso e super rápido e além de muito bonito esse rom de verde é lindo e por ser fosco não fica c marca de dedo. Compraria com certeza novamente.
16,"Satisfeito com a aquisição, excelente aparelho."
17,"Produto de ótima qualidade,."
18,Muito bom o produto.
19,Top.
20,O único problema dele é que a internet tem que ser boa se não fica travando.
21,Produto com bom custo beneficio.
22,"Demorei para comentar para ter melhor análise, melhor aparelho com custo benefício. Não pagar muito caro para ter tecnologia avançada acessível."
23,Muito bom.
24,"O produto é lindo, cores, funcionalidades, duração de uso. Agradável. Produto de qualidade."
25,Ótimo.
26,Sem problemas. Bom celular pelo preço pago.
27,Melhor celular que ja vi.
28,Ótimo custo-benefício.
29,Acho que é um dos melhores custo benefício.
30,"Muito bom aparelho, até agora sem problemas, o nfc para pagamento funciona perfeitamente."
31,Eu presenteie a minha esposa e ela amou.
32,Muito bom.
33,"Gostei muito, recomendo."
34,Adorei. Atendeu as minhas expectativas.
35,"Um produto muito bom, lindo."
36,"Excelente muito, eu recomendo."
