,comment
0,Ótimo produto.
1,Tecla u parou de funcionar com 5 meses.
2,"O teclado apresentou defeito na primeira semana de uso, foi devolvido."
3,O switch da barra de espaço e do backspace estao travando. Em menos de 2 meses de uso!.
4,Ótimo produto!.
5,Produto robusto e com bom desempenho nos jogos !.
6,"Muito bom, perfeito pra quem joga quando tanto pra quem trabalha digitando."
7,Muito bom embora esperasse que as teclas precisassem de menor pressão.
8,Sensacional. Excelente custo benefício.
9,Em 6 meses de uso o mesmo começou a apresentar falha no botão do espaço!! compensa investir pouco dinheiro mais e comprar de uma marca mais confiável!.
10,Muito top meu filho ficou muito feliz.
11,Ótimo teclado.
12,Prático fácil e rápido muito bom gostei.
13,Muito bom.
14,Excelente custo benefício.
15,Excelente teclado!.
16,Produto de excelente qualidade muito bom.
17,Bom.
18,Teclado muito bonito e funciona muito bem!.
19,"Muito bom bom, sem problemas…."
20,"Amei o teclado, como eu esperava e desejava."
21,"Bom produto, ergonômico, estranhei um pouco este teclado mecânico, pois meu notebook é um avell e tem esta tecnologia, mas o do notebook é muito, mas muito mais silencioso ao digitar. Então o ponto negativo vai nesse aspecto. Mas pelo preço não dá pra reclamar. Mas pra mim serviu ao propósito."
22,"Muito bom, gostei bastante dele."
23,"Eu edito vídeos no da vinci resolve 17 e 18. Gostei muito de saber que o botão de volume e dimer, pude configurar pra (avançar) ou (retroceder) o vídeo e até mesmo clicar pra seguir/parar. Botões m1/m2/m3 utilizei pra trocar de aba. Edição/fusion/cor. Estou configurando aos poucos e quero compartilhar por motivos de utilizar mais que pra jogos. Pra seu uso pessoal e profissional. Muito bom mesmo!!!."
24,"Teclado muito bom, cumpre com o prometido. Faz um pouco de barulho, mas como estou sempre de fone, não é um problema."
25,Top de linha eu recomendo gostei muito.
26,Nao eh rpg. Produto bom nao eh possivel deixa uma cor soó.
27,"Excelente produto, não há nada para reclamar."
28,Muito bom. Amei as teclas. Compraria novamente sem problemas.
29,"Teclado muito, vale a pena pelo custo benefício!!!!."
30,"Melhor do que esperava. Teclas suaves, ótimo produto."
31,"Teclado muito bom, teclas muito boa , pelo material do teclado e ao acionar as teclas já dá pra perceber a qualidade do teclado, fora a iluminação que ajuda muito."
32,"Até o momento cumpre oque , prometeu, teclado de fácil uso teclas macias , porém muito barulhento , mais mesmo assim vale a pena a compra."
33,Um dos melhores que usei custo benefício muito bom. E comendo de leds. Show de bola. Pode comprar sem medo.
34,"Teclado excelente, não tenho do que reclamar. Eu achei que todas as teclas alternava em todas as cores, porém não fazem essa função. Mas as fixas que ela tem são ótimas. As funções de iluminação são de ligado/desligado, oscilação, efeito chuva, rainbow e por aí vai."
35,Excelente!!! produto de ótima qualidade!.
36,"Ótimo teclado, muito bom custo x benefício. Meu filho adorou."
37,Excelente produto! ótimo para trabalhar em home office.
38,"Muito bonito e preciso, pelo preço é o melhor da categoria."
39,"Teclado muito bom, funcionando 100%."
40,Produto de qualidade condizento com a descrição do mesmo.
41,O teclado correspondeu todas minhas espectativas.
42,Otimo produto cumpre com o que promete recomendo.
43,"Comprei para meu filho, muito bonito, é bem construído e parece bem resistente. A iluminação também é linda. Ele vem com um apoio para os punhos que, para nossa surpresa, encaixa de forma magnética. Fantástico!."
44,"Bonito e confortável, meu filho gostou muito."
45,Ótimo recomendo teclado muito top.
46,Achei top o teclado adorei.
47,"É o meu primeiro teclado mecânico, mas creio ter acertado na compra. É bonito e muiito confortável, as teclas correspondem bem e a qualidade do material parece ser de ótima qualidade. Levando em consideração todas essas características recomendo fortemente a compra desse modelo, e tbm de demais produtos da fortrek, tendo em vista que tbm tenho um mouse deles que já beira 5 anos e funciona perfeitan."
48,"Muito bom, recomendo em comprar…."
49,"Funcionou certinho só no primeiro mês. Depois teclas começaram a falhar, efeito ghost, garantia? cadê que eu nao sei. Decepcionado, segundo teclado fortrek com o mesmo problema."
50,"A contrução dele é muito boa. A sensação tátil também. Só o fato de ter o switch azul incomoda um pouco, por fazer mais barulho. Mas, como eu sempre tô de fone, é tranquilo."
51,Não é o produto da foto. Não veio com teclas azuis.
