,comment
0,"O produto é incrível, tirando o preço que é alto, fora isso, impecável."
1,"Tv muito incrível. Qualidade da imagem 10/10. Do som, idem. Velocidade do sistema tbm impressiona. Opcoes de personalização. Alem dela ser muitoooo fina."
2,A melhor tv do brasil!.
3,"Um aparelho fantástico, qualidade de imagem, muitas opções de configurações, menu rápido, sistema simples e didático!. Se você tem console de última geração você vai ter a melhor experiência possível, aconselharia pegar um cabo hdmi 2. 1 para melhor performance em games!. Fora tudo isso que falei ainda é muito linda!."
4,Ótimo produto. Imagem. Som. Acabamento. Software. Interface.
5,"Tv muito boa, imagem espetacular. O som deixa um pouco a desejar, mas cumpre sua função. A instalação sobre os pés que acompanham a deixa bastante instável, fácil de cair. Melhor fixá-la na parede."
6,"Tv muito boa, imagem espetacular. O som deixa um pouco a desejar, mas cumpre sua função. A instalação sobre os pés que acompanham a deixa bastante instável, fácil de cair. Melhor fixá-la na parede."
7,Não comprem. É comum várias unidades darem problemas na tela nos primeiros dias. Não tive sorte. Comprei duas e ambas tiveram problemas. Mesmo indo pra a garantia apresenta problema novamente e após reparos e garantia novamente ocorre problema semelhante.
8,"Eu gostei mt da tv e como eu tinha visto em outros comentários o som não é um dos melhores realmente mais a tv e linda, grande e a imagem mt linda atendeu minha expectativa."
9,"O som tá perfeito ,imagem amei. O único ponto que vou mencionar é as baterias que não vem. Porém não impede de da as 5 estrelas. Amei de vdd obg."
10,"Só tive duas decepções quanto ao aparelho, o som deixa a desejar e o sistema roku não ter star+, mesmo tendo disney e discovery, de resto ótima qualidade de imagem e os aplicativos funcionam bem, na primeira semana tive uns problemas com fechamento do netflix e da amazon, mas após uma atualização se resolveram, no geral recomendo, dependendo do preço em relação a uma samsung do mesmo nível. Grato!."
11,"Eiii bota massa, baita tv, vale muito a pena piazada, pode dale!."
12,"Ainda estou me adaptando ao uso da mesma, mais me parece ser um ótimo aparelho."
13,
14,Ta bom.
15,
16,"Eu estou apaixonada nessa televisão ,veio tudo ok bem embalada."
17,Eu tô problema.
18,"Veio com problema, ela não liga. Só fica piscando o led. Fiz contato e até agora não solucionaram meu problema. Já te mais de 1 mês."
19,Televisão com menos de dois meses de uso estragou e não respondem para termos direito a garantia!.
20,"Péssimo, lenta, não passa nada sem travar a imagem e reiniciar. Não comprem!."
21,
22,"Maravilhosa 🤩 ótima imagem , áudio perfeito 👏."
23,A bichinha é lindaaaa a imagem maravilhosa.
24,"Gostei muito,, boa em todos aspectos."
25,Adorei gostei da imagem do som.
26,Produto otimo.
27,"Uso até sem o controle, aplicativo muito útil."
28,Muito bom o produto ótima imagem tudo de bom.
29,Excelente qualidade e muito bom.
30,Maravilhosa minha tv.
31,"Tv muito boa até o momento tá tudo ok sistema rápido, imagem boa o som também e bom, espero que dura uns 10 anos."
32,"Eu tive medo de comprar, mais foi a melhor compra que eu tive obrigada ameii,um sonho realizado 🙏."
33,
34,Amei a tv pode comprar sem medo.
35,"Partindo do calcanhar de aquiles deste televisor, o áudio deixa a deseja. Liguei o áudio num amplificador sansui e a partir daí obtive a qualidade desejada. Imagem? espetacular, tanto nos canais abertos quanto nos fechados. De parabéns a philco."
36,Excelente.
37,Nota 10!.
38,Muito bom.
39,Foi para presente a pessoa ficou encantada.
40,Super recomendo.
41,"Gostei bastante, superou minhas expectativas."
42,"Considerando o preço com um produto produzido aqui na zona franca de manaus estou satisfeito com o produto. Espero superar o tempo de uso de alguns ""importados"" vindos do oriente."
43,Top.
44,Por enquanto tá sendo ótima.
45,Custo benefício bom.
46,"De excelente qualidade, gostei muito."
47,Bom produto. Recomendo.
48,Muito bom muito bom.
49,Ótimo amei.
50,Para quem precisa de uma tv e está um pouco apertado financeiramente ela até que atende. O som é bem baixo.
51,"Ótima tv, valeu a compra."
52,"Comprei para meu filho está adorando, pois que tem facilidade em mexer em todas suas funções vai longe, super recomendo."
53,Produto superou as expectativas. Muito bom.
54,"Tv muito boa, com bom preço."
55,I liked it a lot.
56,Bom produto. Apenas ainda não consegui adequar o som às potencialidades do produto.
57,"Ótima qualidade, recomendoo."
58,"Veio com um pequeno pedaço do plástico onde encaixa os pés quebrado, mas nada que afete o funcionamento, estou bem satisfeito com a tv, synca perfeitamente com meu cel e os apps."
59,"Ótima qualidade, recomendo a todos."
60,"Muito bom a tv é ótimo super recomendo a imagem é boa o som é ótimo as configurações são fáceis, sem fala no preço custo benefício muito bom."
61,"Aparelho ainda em teste, mas nenhuma reclamação. Excelente aparelho custo x beneficio."
62,O aparelho peça no som.
63,"Muito boa, gostei bastante."
64,Excelente. Recomendo.
65,"Ao contrário do que li em alguns comentários foi fácil iniciar e ativar a tv, o som é bom, para minha sala que é pequena não precisa melhor. Muito rápida para se conectar a internet e para todas as outras funções, vamos ver com o tempo como ela se comporta."
66,Gostei muito estou muito feliz 😃.
67,Imagem perfeita linda custo super diferenciado está d parabéns mercado livre.
68,Muito bom.
69,"Não uma samsung ou lg apesar que essas tvs de nomes são praticamente descartáveis, comprei essa para ver se dura um pouco, a lg aqui só durou 4 anos depois de ter ido ao conserto fora da garantia por causa dos leds."
70,Até o momento ñ tenho do q reclamar. Otimo produto.
71,Superou minhas expectativas.
72,"Gente, que tv maravilhosa!. Rapida para ligar, som perfeito, imagem otima. E a roku tv é perfeita. Tem todos os apps disponiveis e ainda da para controlar pelo celular. Amei a tv, preco otimo em promocao!."
73,"Eu achei qbo produto é muito ruim, não durou nem um mês deu problema e agora p/ resolver tá foda."
74,"Tô gostando muito do produto, o preço maravilhoso, vamos ver a durabilidade."
75,Adorei. Recomendo.
76,"Tiveram muitos comentários sobre som, imagem , olha na minha opinião, nada a reclamar. Ótima experiência 🤠."
77,Superou minhas expectativas muito top !.
78,"Tv ótima, som muito bom não veio com nenhum defeito e a imagem é muito boa, preço bom pelo tamanho da tv e o sistema roku é perfeito tbm nada a reclamar."
79,Pra mim top. Supre minhas necessidades traquilo. Super recomendo !.
80,Produto muito bom gostei 👍.
81,"Custo benefício, boa televisão."
82,Controle veio estragado e é impossível falar com o suporte da marca.
83,Produto custo benefício.
84,"O som é um pouco baixo, e para fazer atualização demora de mais."
85,"Muito boa, pelo preço valeu a pena."
86,É ótimo.
87,"Ótima tv ,imagem muito boa e velocidade ótima !!."
88,Otimo produto.
89,Gostei muito da minha nova 📺 qualidade muito boa valeu.
90,Boa compra.
91,Achei o produto maravilhoso.
92,Achei o produto ótimo 😁.
93,Muito bom!.
94,Boa tv.
95,Acho q é muito bom.
96,Muito boa 😍🤌.
97,Gostei.
98,Maravilhosa! vale cada centavo!.
99,É um ótimo produto.
100,Minha norinha gostou muito.
101,"Faltou só o cabo hdmi vir junto, mas tudo certo."
102,"Só não vem com navegador web como outros mais caros, mas excelente para quem não se importa com esse detalhe."
103,Tv perfeita. Superou as expectativas. Tudo ótimo. .
104,Recomendo.
105,Maravilhosa pelo valor recomendo!.
106,"Um ótimo produto,não tenho palavras pra descrever a tv,simplesmente magnífica."
107,Produto excelente superou minhas expectativas.
108,Muito bom excelente produto.
109,Ótima.
110,Tv muito boa.
111,Muito bom gostei.
112,Maravilhoso amei recomendo 🤗.
113,"Pesquisei muito até decidir comprar essa tv. Nos comentários sempre falavam que o som dela era meio ruim e eu fiquei com receio. Mas o som tem uma qualidade boa! em 25 já tem um volume muito bom e acima dos 50 não tem distorção. Eu realmente não entendi as reclamações. A imagem é muito boa! e o sistema roku, que eu não conhecia, me surpreendeu positivamente. Muito fácil de manusear e a loja tem todas as principais plataformas do mercado. Muito satisfeito com a compra! uma tv excelente com um preço muito bom!."
114,"Ela ótima, e atendeu bem as expectativas!."
115,"Produto de ótima qualidade, super recomendo."
116,E a 3 tv que compro da marca até agora não tenho do que reclamar.
117,"Muito boa estou satisfeita com a tv ismart, imagem excelente."
118,Sem comentários.
119,Ótimo custo benefício.
120,E muito bom nota nota mil demauro.
121,"Ótimo produto, a qualidade de imagem é excelente, parabéns a equipe philco. Foi uma ótima compra!!!. Recomendo a tofos é um ótimo produto!!!."
122,Muito bom.
123,Bom.
124,Gostei da mecadoria.
125,"Já ouvi pessoas falando mau da marca , tudo balela para mim está excelente eu recomendo."
126,Muito boa. Atv gostei recomendo.
127,O som ficou devendo (abafado).
128,O produto é bom para o valor. Possui um custo médio para uma tv smart possui funcionalidades padrão(basicas)de uma smart (agradável). Não deixa a desejar. Boa imagem (não a melhor) pois se quiser uma tv de ótima qualidade uma super definição terá que coçar mais o bolso pra isso. Tamanho muito bom. Som bom bem legal. Imagem boa.
129,"Ótimo produto ótima imagem mais peça apenas em 2 quesitos, o som dela e baixo, e infelizmente a roku tv não funciona o star+ que é um streaming que utilizo muito."
130,Simplesmente maravilhoso.
131,Ótimo!.
132,Produti muito bom.
133,"Pelo valor, é um ótimo produto, gostei bastante!!."
134,Bom.
135,Cumpre o que promete.
136,"Eu simplesmente só queria uma tv para assistir e jogar, paguei r$1470, não tenho o que reclamar ótimo custo benefício."
137,Ótimo.
138,A tv é perfeita estou super feliz vale a pena comprar.
139,"O mlhor custo benefício do mercado, excelente imagem e som e o sistema roku é incrivel."
140,Muito bom. Recomendo.
141,Excelente.
142,"Produto top,qualidade de som top,qualidade de imagem top."
143,Meio confuso configuração pois ate hoje não consegui colocar minhas cameras pra visualizar nela.
144,Gostei muito da tv vale a pena comprar.
145,E maravilhas gostei muito.
146,Ameei minha tv é linda.
147,"Até o momento, sem nada a dizer contra."
148,Execelente top de mais tv mto boa.
149,"O produto e bom, porem a imagem e tao nitida, e tambem as cores nao sao vivas, achei meio fosca, mas o audio e bom."
150,✌🏻.
151,É ótima.
152,Muito bom a tv recomendo.
153,Barato.
154,Ótimo.
155,Excelente o produto que comprei.
156,"Excelente essa tv, valeu muito apena minha compra."
157,O sistema roku não tem muitos aplicativos disponível.
158,Muito boa! amei.
159,Muito boa a tv.
160,Gostei muito.
161,O som achei baixo.
162,Até agora estou amando ótima qualidade não tenho do que reclamar.
163,"Excelente compra, super promoção."
164,"Top demais, gostei muito !."
165,"A tv tem um alto custo benefício. Vi algumas pessoas reclamando do som aqui no ml, mas nao tem absolutamente nd errado, uns poucos q nao conseguem lidar, pois tem preguiça de ler manual. Ótimo produto."
166,"Muito bom, recomendo,sem nenhum problema muito bom."
167,"Tivesse o google,mas não tem."
168,"Som excelente, conexão wafi excelente! superou minhas expectativas!."
169,"A tv amar é top!!. Rápida, interface fácil, imagem fim o, som bom. Já conheço e tenho confiança na marca pois só compro philco, acho boa e com preço justo. Satisfeito com a compra."
170,Maravilhosa a tv presentei minha filha e minha netinha amou.
171,"Amei minha televisão ela é ótima,boa imagem altura excelente amei."
172,Excelente. Amandoooo.
173,"A tv é boa ,o que atrapalha é não ter como pesquisar no google."
174,Boa tarde estou ainda estou avaliando a tv smat às proriguanto está tudo bem.
175,"Produto de qualidade, satisfeito com a aquisição."
176,"O sistema roku é razoavelmente rápido, tem muitas portas de saída, bom acabamento. Tive um probleminha com o controle remoto que não funcionou inicialmente, depois que adquiri um controle universal resolvi abrir o controle original e descobri que era apenas um botão que estava travado."
177,Perfeita.
178,Muito boa.
179,Adorei!.
180,"Produto ótimo ,chega bem rápido."
181,"Muito boa, qualidade de imagens surpreendente, audio bem imersivo e tamanho muito bom! recomendo!."
182,A tv não veio com nota fiscal.
183,"Ótima tv, sistema e um pouco complicado pra quem não está acostumado. Tem uma resposta rápida para os comando."
184,Muito bom.
185,"Acima das minhas expectativas, sistema roku simples, fácil interação, controle remoto com funcionalidades simples e de fácil manuseio."
186,Tv. Muito boa. Qualidade na imagem. E custo benefício!.
187,"Produto muito bom, tecnologia bem atualizada."
188,"É excelente, muito bom."
189,Boa tv.
190,"Gostei muito, fácil de instalar, tudo certo!."
191,Recomendo.
192,Excelente.
193,Faz poucos dias que comprei então não dá pra dizer que é excelente.
194,Produto muito bom mas o som é fraco tenho que colocar no 50 pois é baixo.
195,Muito bom e de grande qualidade.
196,"Muito boa, gostei bastante."
197,Ótima tv.
198,Eu adorei muito boa mesmo eu recomendo.
199,Muito boa imagem top.
200,Gostei 👏 não me arrependo de comprar.
201,"Tv muito top, fiz uma pesquisa de modelos e sistemas operacionais, essa foi a mais completa."
202,"Produto atende exatamente ao que se propõe, com uma qualidade de imagem full hd, com um áudio muito bom!. Fiquei muito feliz com a compra."
203,Ótimo custo beneficio.
204,Só não gostei que não posso baixar na prá ela exemplo pley hist.
205,Achei o produto de boa colidade recomende.
206,"Maravilhosa a tv , um ótimo custo benefício ☺️."
207,Bom eficiente boa compraria de novo.
208,Muitos acham esta teve meio básica porem atendeu bem os meus objetivos.
209,Perfeito.
210,"Muito linda, super indico. Custo beneficio maravilhoso. Adorei."
211,Produto de qualidade!!. Tô super satisfeito!!. Recomendo à todos!!.
212,Produto excelente 😜.
213,Gostei bastante.
214,Foi uma ótima surpresa.
215,"Muito boa, mas tive a impressão do som da tv está com o auto falante tripidando com ruído, mesmo tentando fazer a regulagem. A imagem é boa, mas esperava mais definição. Pelo menos é anti reflexo. Gostei."
216,"Não gostei, o produto tem muito custo para pouco benefício, o som deveria ser mais forte. Não existe defeito técnico. Quero devolução do produto."
217,Excelente.
218,Outra experiência em assistir qualquer coisa.
219,"Tv maravilhosa, excelente custo benefício, qualidade de imagem e som. Amei."
220,Maravilhosa!!! amei a tv vale cada centavo.
221,Excelente compra!.
222,Ja possuia uma dessa 55 pol é otima imagem linda e muita tecnologia embarcada pode comprar sem medo.
223,"É lg né sempre mantendo a qualidade, tô amando 😍."
224,Ótima qualidade de imagem.
225,A tv não interage com o próprio controle. Sendo necessário reiniciar a tv para poder usar o aparelho. Caso contrário ela não reconhece o controle remoto que vem nela mesma.
226,Boa tarde a tv em si é muito boa mais o youtube está travando muito e não sei o que fazer gostaria que vcs mim desse uma resposta.
227,"A imagem é muito boa, mas o som é extremamente ruim. Sem grave, parece uma caixinha de radinho!."
228,"Som pessimo,pemsei ate que nao fosse oroginal,pela qualidade do produto."
229,"Espera que a tv tivesse uma loja mais completa de aplicativos, mas infelizmente não tem. Trava constantemente, desconecta da rede wifi a todo instante. Não recomendo."
230,Excelente tv! imagem maravilhosa.
231,"Produto top, ótima relação custo x benefício, imagem muito boa, cores nítidas, qualidade sonora ótima, só peca pelo fato de não ter a função bluetooth, e sua loja de aplicativos é um tanto limitada, ainda assim, vale bastante a pena adiquir este item, e recomendo com toda certeza pra qualquer um que esteja afim fazer uma aquisição de uma nova tv, e não seja tão exigente para certas funções."
232,Liguei hoje a tv bela imagem produto no momento sem avaria minha tia adorou espero que ela tenha um bom uso. Otimo produto.
233,Achei absurdo que a tv não tem disney e nao tem opcao de incluir.
234,Muito boa.
235,"A televisão é muito boa, funcional. Boa relação custo benefício."
236,Muito boa a qualidade.
237,"Problema com sistema operacional. A parte física da tv é boa: imagem, som, etc. O problema é quando você autoriza a atualização do software. Após atualizar, o aparelho desliga e perde toda a memória. Precisa configurar tudo novamente. : canais, rede, aplicativos, etc. Nunca mais vou autorizar atualização de software nesta tv porque é um parto. E possivelmente, na próxima compra, preferirei outra marca com sistema operacional mais inteligente."
238,"Produto bom, possui boa qualidade, super recomendo!."
239,Boa tarde a tv deu problema não está ligando.
240,Produto excelente dentro do esperado.
241,"Bom produto, porém controle parou de funcionar do nada."
242,Otima tv comprarei outra o preço exelente.
243,"A tv vale muito a pena , o custo dela é menor que das outras marcas , têm uma resolução perfeita, os aplicativos funcionam perfeitamente , eu super recomendo."
244,Produto igual ao anunciado aconselho a compra parabens.
245,Adorei e excelente em perfeito funcionamento.
246,Ótima qualidade de imagem muito bom.
247,"Maravilha, é grande do jeito que eu queria , amei podem comprar."
248,Deixa a desejar. Em vários sentido. Comprei mais n recomendo. Precisa melhorar bastante.
249,"Ótima compra, conforme descrição."
250,"Muito bom, me agradou, imagem ótima, muito rápida, excelente recepção de internet, recomendo!."
251,"Está funcionando, está funcionando até hoje."
252,Muito boa e muito linda também amei.
253,A televisão é muito ótima amei nn veio do tamanho q eu pensava q era mais fora isso amei. Como que faz pra pegar o papel da garantia?. Quantos anos de garantia é?.
254,"Ótimo , qualidade de imagem , som tudo muito bom."
255,Um ótimo produto super recomendo.
256,Excelente produto estou muito contente.
257,"Produto de excelente qualidade, atendeu minhas expectativas."
258,Excelente qualidade de som e imagem.
259,Quero devolver a tv. O smart ta travando.
260,Muito bom. Única desvantagem é que não dá pra baixar novos aplicativos e não tem o premiere no globo play. Mas vale o custo x benefício.
261,"Amai o produto,porém a entrada do cabo da antena parece que está solto ,está mole e quando ligo a antena não dá sinal."
